City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Bandarbeyla,SO,82.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
449,Khilchipur,IN,81.52,clear sky,24.0333,76.5667,Hotel Uday Palace
450,Wattegama,LK,75.33,few clouds,6.7989,81.4808,
451,Wana,PK,63.68,clear sky,32.2989,69.5725,Rest House at Wana Camp
452,Fords,US,64.27,clear sky,40.5293,-74.316,Courtyard by Marriott Edison Woodbridge
453,Shahpura,IN,77.67,clear sky,27.3833,75.9667,Shahpura Haveli
454,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
455,Maridi,SS,67.15,overcast clouds,4.9158,29.4742,
457,Pottsville,US,60.44,broken clouds,40.6857,-76.1955,Ramada by Wyndham Pottsville/Frackville
462,Naze,JP,65.32,scattered clouds,28.3667,129.4833,Shishime Hotel
464,Kihei,US,77.97,overcast clouds,20.785,-156.4656,Maui Sunset
469,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
471,Honiara,SB,84.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
472,Eyl,SO,79.16,few clouds,7.9803,49.8164,Amiin Hotel
474,Puerto Ayacucho,VE,77.52,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
475,Warrnambool,AU,69.82,clear sky,-38.3833,142.4833,Lady Bay Resort
476,Kidal,ML,77.77,few clouds,18.4411,1.4078,
481,Tallahassee,US,73.85,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
482,Amapa,BR,71.78,overcast clouds,1.0,-52.0,
483,Port Macquarie,AU,73.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
484,Hukuntsi,BW,63.88,scattered clouds,-24.0,21.75,Entabeni Hotel
485,Morgan City,US,76.01,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
487,Puerto Lempira,HN,80.74,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
488,Hurghada,EG,71.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
489,Bengkulu,ID,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
492,Itoman,JP,73.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
494,Prainha,BR,74.37,overcast clouds,-1.8,-53.48,Casa Rocha
495,Puerto Narino,CO,73.22,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
496,Shorapur,IN,83.68,overcast clouds,16.5167,76.75,Maheshwari Bhawan
497,Rawson,AR,64.13,clear sky,-43.3002,-65.1023,Hosteria Sampedro
499,Hue,VN,78.91,mist,16.4667,107.6,Saigon Morin Hotel
500,Arraias,BR,69.35,overcast clouds,-12.9288,-46.9437,Hotel Japão
501,Callaguip,PH,82.42,few clouds,18.0714,120.4867,Pangil Beach Resort
502,Lithgow,AU,63.48,few clouds,-33.4833,150.15,Zig Zag Motel Lithgow
503,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
504,Bagua Grande,PE,76.03,light rain,-5.7561,-78.4411,HOTELNIEVA
506,Ulladulla,AU,72.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
507,Puerto Leguizamo,CO,72.63,broken clouds,-0.1934,-74.7819,la casona de juancho
510,Pajapan,MX,77.45,broken clouds,18.25,-94.7,Hotel Del Carmen
511,Bahir Dar,ET,68.81,light rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
513,Meadow Lake,US,75.49,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
514,Zachary,US,76.69,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
516,Robertsport,LR,79.45,broken clouds,6.7533,-11.3686,Kwepunha Retreat
518,Mayumba,GA,77.18,overcast clouds,-3.432,10.6554,LIKWALE LODGE
521,Itanhem,BR,70.05,light rain,-17.1664,-40.33,Hotel Resende
522,Ternate,ID,84.33,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
523,Mandera,KE,80.49,light rain,3.9366,41.867,Hiren Hotel Mandera
526,Celestun,MX,80.04,broken clouds,20.8667,-90.4,Posada Lilia
528,Manicore,BR,73.44,overcast clouds,-5.8092,-61.3003,Hotel Durval
531,Sao Geraldo Do Araguaia,BR,74.43,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
533,Omboue,GA,77.05,overcast clouds,-1.5746,9.2618,Hotel Olako
534,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
535,Mogadishu,SO,81.03,overcast clouds,2.0371,45.3438,Hotel Juba
537,Mana,GF,77.4,overcast clouds,5.6592,-53.7767,LE SAMANA
538,Gondanglegi,ID,82.26,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
539,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
540,Buchanan,LR,79.32,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
543,Colon,PA,81.36,broken clouds,9.3592,-79.9014,Sand Diamond Hotel
544,Thinadhoo,MV,82.58,few clouds,0.5333,72.9333,
546,Shushtar,IR,70.97,clear sky,32.0455,48.8567,چاپ یاس کبود
550,Hokitika,NZ,60.91,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
551,Probolinggo,ID,84.16,overcast clouds,-7.7543,113.2159,Rumah Anggrek Syariah 1 RedPartner
552,Barinas,VE,82.44,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
555,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
556,Kiama,AU,74.25,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
557,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
561,Barranca,PE,65.77,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
567,Northport,US,63.81,clear sky,33.229,-87.5772,Hotel Capstone
569,Ouallam,NE,83.34,overcast clouds,14.3188,2.0866,
571,Bosaso,SO,82.17,scattered clouds,11.2842,49.1816,Red Sea Hotel
574,Serenje,ZM,61.23,scattered clouds,-13.2325,30.2352,The Kabaso's
575,Pandaan,ID,80.1,overcast clouds,-7.6527,112.6875,Finna Golf & Country Club Resort
576,Codajas,BR,73.26,light rain,-3.8367,-62.0569,Atlântic Hotel
578,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
581,Gawler,AU,81.25,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
582,Sao Filipe,CV,70.75,clear sky,14.8961,-24.4956,Hotel Xaguate
583,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
584,Mimongo,GA,68.29,overcast clouds,-1.6195,11.6068,
