City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
164,Sidney,AU,2022-04-16 00:50:42,-33.8679,151.2073,74.77,72,75,5.99,broken clouds,0.0,0.0
165,Ribeira Grande,PT,2022-04-16 00:55:33,38.5167,-28.7,61.2,77,40,8.05,scattered clouds,0.0,0.0
166,Salina,US,2022-04-16 00:55:33,38.8403,-97.6114,53.31,38,1,4.0,clear sky,0.0,0.0
167,Saskylakh,RU,2022-04-16 00:55:34,71.9167,114.0833,-2.0,95,67,7.47,broken clouds,0.0,0.0
168,Dogondoutchi,NE,2022-04-16 00:55:34,13.6393,4.0287,83.41,50,100,14.61,overcast clouds,0.0,0.0
169,Tiksi,RU,2022-04-16 00:55:34,71.6872,128.8694,-0.11,98,99,3.22,overcast clouds,0.0,0.0
170,Chaiyaphum,TH,2022-04-16 00:55:34,15.75,102.0,84.06,44,30,10.11,scattered clouds,0.0,0.0
171,Tuatapere,NZ,2022-04-16 00:55:35,-46.1333,167.6833,55.08,58,67,17.96,broken clouds,0.0,0.0
172,Yabrud,SY,2022-04-16 00:55:35,33.9674,36.6574,46.02,27,0,2.06,moderate rain,0.0,0.0
173,Port Augusta,AU,2022-04-16 00:55:35,-32.5,137.7667,81.77,26,0,3.11,clear sky,0.0,0.0
174,Pisco,PE,2022-04-16 00:55:36,-13.7,-76.2167,66.02,82,0,21.85,clear sky,0.0,0.0
175,Talavera,PH,2022-04-16 00:55:36,15.6167,120.9333,86.45,56,77,6.44,broken clouds,0.0,0.0
176,Georgetown,MY,2022-04-16 00:55:36,5.4112,100.3354,82.33,93,20,5.01,thunderstorm,0.0,0.0
177,Port Lincoln,AU,2022-04-16 00:55:37,-34.7333,135.8667,71.8,63,3,8.77,clear sky,0.0,0.0
178,Burley,US,2022-04-16 00:52:16,42.5357,-113.7928,45.19,52,100,6.91,overcast clouds,0.0,0.0
